date,hour,temperature,humidity,pressure,weather
2015-01-07,15,7.2,92,101.82,
2015-01-07,16,7.1,91,101.77,
2015-01-07,17,7.1,92,101.77,
2015-01-07,18,6.8,93,101.77,
2015-01-07,19,6.5,94,101.78,
2015-01-07,20,6.3,94,101.76,
2015-01-07,21,6.1,95,101.79,
2015-01-07,22,6.1,95,101.78,
2015-01-07,23,6.0,94,101.77,
2015-01-07,24,6.0,91,101.73,
2015-01-08,01,6.0,92,101.76,
2015-01-08,02,5.7,93,101.72,
2015-01-08,03,5.8,94,101.73,
2015-01-08,04,5.4,94,101.68,
2015-01-08,05,5.3,95,101.63,
2015-01-08,06,5.2,95,101.58,
2015-01-08,07,5.0,95,101.55,
2015-01-08,08,5.1,94,101.51,
2015-01-08,09,5.0,95,101.56,
2015-01-08,10,4.7,95,101.57,
2015-01-08,11,4.7,95,101.57,
2015-01-08,12,5.3,95,101.55,
2015-01-08,13,6.0,88,101.47,
2015-01-08,14,6.3,88,101.38,
2015-01-08,15,7.7,82,101.40,
2015-01-08,16,7.5,86,101.35,
2015-01-08,17,7.0,88,101.32,
2015-01-08,18,6.5,90,101.29,
2015-01-08,19,6.9,87,101.31,
2015-01-08,20,6.8,86,101.26,
2015-01-08,21,6.6,86,101.25,
2015-01-08,22,7.2,79,101.27,
2015-01-08,23,6.8,83,101.27,
2015-01-08,24,6.6,82,101.25,
2015-01-09,01,6.5,83,101.26,
2015-01-09,02,6.9,80,101.23,
2015-01-09,03,6.9,80,101.24,
2015-01-09,04,6.8,80,101.23,
2015-01-09,05,6.7,82,101.18,
2015-01-09,06,6.6,83,101.16,
2015-01-09,07,6.5,83,101.14,
2015-01-09,08,6.4,83,101.13,
2015-01-09,09,6.3,82,101.14,
2015-01-09,10,6.4,80,101.16,
2015-01-09,11,7.5,77,101.16,
2015-01-09,12,7.3,79,101.10,
2015-01-09,13,7.7,80,101.11,
2015-01-09,14,8.8,74,101.07,
2015-01-09,15,7.7,80,101.01,
2015-01-09,16,7.2,87,100.97,
2015-01-09,17,6.8,88,100.95,
2015-01-09,18,6.0,91,100.93,
2015-01-09,19,5.9,92,100.91,
2015-01-09,20,5.8,91,100.91,
2015-01-09,21,5.9,92,100.92,
2015-01-09,22,6.2,91,100.97,
2015-01-09,23,6.2,92,100.94,
2015-01-09,24,6.1,92,100.93,
2015-01-10,01,6.2,93,100.93,
2015-01-10,02,6.2,93,100.93,
2015-01-10,03,6.2,94,100.92,
2015-01-10,04,6.2,94,100.94,
2015-01-10,05,6.1,94,100.90,
2015-01-10,06,6.0,94,100.86,
2015-01-10,07,6.2,94,100.86,
2015-01-10,08,6.2,94,100.86,
2015-01-10,09,6.2,95,100.91,
2015-01-10,10,6.4,95,100.92,
2015-01-10,11,6.4,95,100.96,
2015-01-10,12,6.4,94,100.97,
2015-01-10,13,6.6,94,100.94,
2015-01-10,14,6.5,94,100.92,
2015-01-10,15,6.7,94,100.89,
2015-01-10,16,6.7,93,100.91,
2015-01-10,17,6.6,93,100.95,
2015-01-10,18,6.5,93,100.97,
2015-01-10,19,6.4,92,100.99,
2015-01-10,20,6.4,92,101.01,
2015-01-10,21,6.6,92,101.03,
2015-01-10,22,6.6,93,101.08,
2015-01-10,23,6.5,92,101.07,
2015-01-10,24,6.5,93,101.10,
2015-01-11,01,6.4,93,101.13,
2015-01-11,02,6.5,93,101.09,
2015-01-11,03,6.5,92,101.13,
2015-01-11,04,6.6,92,101.17,
2015-01-11,05,6.6,93,101.14,
2015-01-11,06,6.5,94,101.14,
2015-01-11,07,6.6,94,101.14,
2015-01-11,08,6.6,94,101.16,
2015-01-11,09,6.6,94,101.19,
2015-01-11,10,6.7,94,101.27,
2015-01-11,11,6.8,94,101.33,
